https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume REP
1555610400,2019-04-18 18:00:00,REP/USD,22.05,23.25,22.05,23.2,2803.98,122.19
1555606800,2019-04-18 17:00:00,REP/USD,22.05,22.05,22.05,22.05,0.0,0.0
1555603200,2019-04-18 16:00:00,REP/USD,21.8,22.16,21.8,22.05,320.58,14.53
1555599600,2019-04-18 15:00:00,REP/USD,21.8,21.8,21.8,21.8,0.0,0.0
1555596000,2019-04-18 14:00:00,REP/USD,21.8,21.8,21.8,21.8,0.0,0.0
1555592400,2019-04-18 13:00:00,REP/USD,21.8,21.8,21.8,21.8,0.0,0.0
1555588800,2019-04-18 12:00:00,REP/USD,21.8,21.8,21.8,21.8,0.0,0.0
1555585200,2019-04-18 11:00:00,REP/USD,21.8,21.8,21.8,21.8,0.0,0.0
1555581600,2019-04-18 10:00:00,REP/USD,21.15,21.81,21.15,21.8,8766.05,404.19
1555578000,2019-04-18 09:00:00,REP/USD,21.15,21.15,21.15,21.15,0.0,0.0
